-
  Date     Time   Typ  C Stat  AdTim     Vol    Bl  BlDev  MaxV    Area    ng/m3
13-04-10 16:03:40 CLN  A OK  0     0     .00 0.175  1.429 0.190  193370    0.000
13-04-10 16:07:14 CLN  B NP  0   213    3.61 0.189   .028  .000       0    0.000
13-04-10 16:10:00 CONT A OK  0   300    4.98 0.188   .032 0.200   35335    1.564
13-04-10 16:15:00 CONT B OK  0   300    5.00 0.188   .025 0.200   39521    1.703
13-04-10 16:20:00 CONT A OK  0   300    4.99 0.188   .024 0.200   37771    1.667
13-04-10 16:25:00 CONT B OK  0   300    5.00 0.187   .023 0.200   40995    1.766
13-04-10 16:30:00 CONT A OK  0   300    4.99 0.187   .030 0.200   40555    1.790
13-04-10 16:35:00 CONT B OK  0   300    4.99 0.186   .022 0.200   41385    1.784
13-04-10 16:40:00 CONT A OK  0   300    5.00 0.186   .032 0.199   41642    1.838
-
  Date     Time   Typ  C Stat  AdTim     Vol    Bl  BlDev  MaxV    Area    ng/m3
13-04-10 17:08:40 CLN  A NP  0     0     .00 0.186   .046  .000       0    0.000
13-04-10 17:12:14 CLN  B OK  0   213    2.55 0.185   .032 0.192   22834    0.000
13-04-10 17:15:00 CONT A OK  0   300    4.98 0.184   .033 0.199   42937    1.901
13-04-10 17:20:00 CONT B OK  0   300    4.99 0.184   .029 0.198   44612    1.923
13-04-10 17:25:00 CONT A OK  0   300    4.99 0.184   .028 0.198   43736    1.931
13-04-10 17:30:00 CONT B OK  0   300    4.99 0.184   .032 0.198   45694    1.970
13-04-10 17:35:00 CONT A OK  0   300    4.99 0.184   .027 0.198   43762    1.931
13-04-10 17:40:00 CONT B OK  0   300    4.99 0.183   .031 0.198   44841    1.933
13-04-10 17:45:00 CONT A OK  0   300    4.99 0.183   .035 0.198   42807    1.890
13-04-10 17:50:00 CONT B OK  0   300    5.00 0.183   .032 0.197   44536    1.919
13-04-10 17:55:00 CONT A OK  0   300    4.99 0.183   .028 0.198   43858    1.936
