-
  Date     Time   Typ  C Stat  AdTim     Vol    Bl  BlDev  MaxV    Area    ng/m3
13-09-23 10:18:41 CLN  A NP  0     0     .00 0.183   .032  .000       0    0.000
13-09-23 10:22:14 CLN  B OK  0   213    3.59 0.183   .028 0.188   16847    0.000
13-09-23 10:25:00 CONT A OK  0   300    4.98 0.182   .027 0.194   31389    1.367
13-09-23 10:30:00 CONT B OK  0   300    5.00 0.181   .030 0.192   33938    1.414
13-09-23 10:35:00 CONT A OK  0   300    5.00 0.181   .026 0.192   33065    1.435
13-09-23 10:40:00 CONT B OK  0   300    5.00 0.180   .027 0.191   33966    1.415
13-09-23 10:45:00 CONT A OK  0   300    4.99 0.180   .029 0.191   32766    1.423
13-09-23 10:50:00 CONT B OK  0   300    5.00 0.180   .030 0.191   33435    1.393
13-09-23 10:55:00 CONT A OK  0   300    4.99 0.179   .029 0.190   33355    1.448
13-09-23 11:00:00 CONT B OK  0   300    4.99 0.179   .031 0.190   34542    1.440
13-09-23 11:05:00 CONT A OK  0   300    5.00 0.179   .028 0.190   31997    1.389
13-09-23 11:10:00 CONT B OK  0   300    4.99 0.178   .029 0.189   33344    1.390
13-09-23 11:15:00 CONT A OK  0   300    4.99 0.178   .025 0.189   33666    1.462
13-09-23 11:20:00 CONT B OK  0   300    5.00 0.178   .031 0.189   34105    1.421
13-09-23 11:25:00 CONT A OK  0   300    4.99 0.178   .029 0.189   31477    1.367
13-09-23 11:30:00 CONT B OK  0   300    4.99 0.178   .029 0.189   32854    1.369
13-09-23 11:35:00 CONT A OK  0   300    4.99 0.178   .034 0.189   32087    1.393
13-09-23 11:40:00 CONT B OK  0   300    5.00 0.178   .027 0.188   32454    1.352
13-09-23 11:45:00 CONT A OK  0   300    4.99 0.177   .026 0.188   31554    1.370
13-09-23 11:50:00 CONT B OK  0   300    5.00 0.177   .034 0.188   32858    1.369
13-09-23 11:55:00 CONT A OK  0   300    4.99 0.177   .028 0.188   32057    1.392
13-09-23 12:00:00 CONT B OK  0   300    4.99 0.177   .030 0.188   32395    1.350
13-09-23 12:05:00 CONT A OK  0   300    4.99 0.177   .028 0.188   31401    1.364
13-09-23 12:10:00 CONT B OK  0   300    5.00 0.177   .028 0.188   33682    1.403
13-09-23 12:15:00 CONT A OK  0   300    4.99 0.177   .025 0.188   30935    1.343
13-09-23 12:20:00 CONT B OK  0   300    4.99 0.177   .034 0.188   32542    1.356
13-09-23 12:25:00 CONT A OK  0   300    4.99 0.177   .060 0.188   31171    1.353
13-09-23 12:30:00 CONT B OK  0   300    4.99 0.177   .027 0.187   31736    1.323
13-09-23 12:35:00 CONT A OK  0   300    4.99 0.177   .031 0.188   31050    1.349
13-09-23 12:40:00 CONT B OK  0   300    4.99 0.177   .025 0.188   32786    1.366
13-09-23 12:45:00 CONT A OK  0   300    4.99 0.177   .025 0.188   32658    1.419
13-09-23 12:50:00 CONT B OK  0   300    4.99 0.177   .024 0.187   33223    1.385
13-09-23 12:55:00 CONT A OK  0   300    4.99 0.177   .029 0.187   31250    1.358
13-09-23 13:00:00 CONT B OK  0   300    4.91 0.177   .029 0.187   32444    1.376
13-09-23 13:05:00 CONT A OK  0   300    4.18 0.177   .035 0.186   26083    1.352
13-09-23 13:10:00 CONT B OK  0   300    1.81 0.176   .043 0.181   11714    1.345
13-09-23 13:15:00 CONT A NP  0   300     .00 0.176   .029  .000       0     .000
