-
  Date     Time   Typ  C Stat  AdTim     Vol    Bl  BlDev  MaxV    Area    ng/m3
15-01-05 15:38:40 CLN  A NP  0     0     .00 0.165   .029  .000       0    0.000
15-01-05 15:42:14 CLN  B OK  0   213    3.60 0.164   .032 0.309  494935    0.000
15-01-05 15:45:00 CONT A OK  0   300    4.98 0.164   .027 0.176   37976    1.761
15-01-05 15:50:00 CONT B OK  0   300    5.00 0.170   .026 0.182   35972    1.654
15-01-05 15:55:00 CONT A OK  0   300    5.00 0.170   .029 0.182   36600    1.692
15-01-05 16:00:00 CONT B OK  0   300    5.00 0.170   .030 0.182   35695    1.640
15-01-05 16:05:00 CONT A OK  0   300    5.00 0.170   .035 0.182   36119    1.670
15-01-05 16:10:00 CONT B OK  0   300    5.00 0.170   .031 0.182   36058    1.658
15-01-05 16:15:00 CONT A OK  0   300    5.00 0.170   .033 0.182   36106    1.669
15-01-05 16:20:00 CONT B OK  0   300    5.00 0.170   .028 0.182   35312    1.623
15-01-05 16:25:00 CONT A OK  0   300    5.00 0.170   .038 0.182   35484    1.640
15-01-05 16:30:00 CONT B OK  0   300    5.00 0.170   .032 0.182   35272    1.622
15-01-05 16:35:00 CONT A OK  0   300    5.00 0.170   .031 0.182   35583    1.644
15-01-05 16:40:00 CONT B OK  0   300    5.00 0.170   .027 0.182   35659    1.639
15-01-05 16:45:00 CONT A OK  0   300    5.00 0.170   .037 0.182   36437    1.685
15-01-05 16:50:00 CONT B OK  0   300    5.00 0.170   .034 0.182   35870    1.648
15-01-05 16:55:00 CONT A OK  0   300    5.00 0.171   .033 0.182   35697    1.650
15-01-05 17:00:00 CONT B OK  0   300    5.00 0.170   .036 0.182   35863    1.649
15-01-05 17:05:00 CONT A OK  0   300    5.00 0.170   .032 0.182   36410    1.683
15-01-05 17:10:00 CONT B OK  0   300    5.00 0.170   .030 0.182   35902    1.651
15-01-05 17:15:00 CONT A OK  0   300    5.00 0.170   .028 0.182   36620    1.693
15-01-05 17:20:00 CONT B OK  0   300    5.00 0.170   .032 0.182   36447    1.675
15-01-05 17:25:00 CONT A OK  0   300    5.00 0.170   .025 0.182   36736    1.698
15-01-05 17:30:00 CONT B OK  0   300    5.00 0.170   .029 0.182   36500    1.678
15-01-05 17:35:00 CONT A OK  0   300    5.00 0.170   .040 0.182   36754    1.699
15-01-05 17:40:00 CONT B OK  0   300    5.00 0.170   .030 0.182   35440    1.629
15-01-05 17:45:00 CONT A OK  0   300    5.00 0.170   .027 0.182   36951    1.708
15-01-05 17:50:00 CONT B OK  0   300    5.00 0.170   .030 0.182   36156    1.662
15-01-05 17:55:00 CONT A OK  0   300    5.00 0.170   .025 0.182   36469    1.685
15-01-05 18:00:00 CONT B OK  0   300    5.00 0.170   .026 0.182   36062    1.658
15-01-05 18:05:00 CONT A OK  0   300    5.00 0.170   .029 0.182   36824    1.702
15-01-05 18:10:00 CONT B OK  0   300    5.00 0.170   .026 0.182   36228    1.665
15-01-05 18:15:00 CONT A OK  0   300    5.00 0.170   .034 0.182   37026    1.712
15-01-05 18:20:00 CONT B OK  0   300    5.00 0.170   .030 0.182   36031    1.656
15-01-05 18:25:00 CONT A OK  0   300    5.00 0.170   .033 0.182   37163    1.718
15-01-05 18:30:00 CONT B OK  0   300    5.00 0.170   .027 0.182   35363    1.626
15-01-05 18:35:00 CONT A OK  0   300    5.00 0.170   .031 0.182   36783    1.701
15-01-05 18:40:00 CONT B OK  0   300    5.00 0.170   .031 0.182   35549    1.634
15-01-05 18:45:00 CONT A OK  0   300    5.00 0.170   .030 0.182   36600    1.692
15-01-05 18:50:00 CONT B OK  0   300    5.00 0.170   .032 0.182   36002    1.655
15-01-05 18:55:00 CONT A OK  0   300    5.00 0.170   .029 0.182   36018    1.665
15-01-05 19:00:00 CONT B OK  0   300    5.00 0.170   .028 0.182   36610    1.683
15-01-05 19:05:00 CONT A OK  0   300    5.00 0.170   .028 0.183   37242    1.722
