-
  Date     Time   Typ  C Stat  AdTim     Vol    Bl  BlDev  MaxV    Area    ng/m3
15-11-03 08:45:08 CLN  A OK  0     0     .00 0.208  0.387 0.218   21528    0.000
15-11-03 08:48:42 CLN  B NP  0   214    1.57 0.212   .028  .000       0    0.000
-
  Date     Time   Typ  C Stat  AdTim     Vol    Bl  BlDev  MaxV    Area    ng/m3
15-11-03 12:13:41 CLN  A NP  0     0     .00 0.213   .031  .000       0    0.000
15-11-03 12:17:14 CLN  B NP  0   213    3.58 0.201   .026  .000       0    0.000
15-11-03 12:20:00 CONT A OK  0   300    4.99 0.200   .027 0.209   27107    1.852
15-11-03 12:25:00 CONT B OK  0   300    4.68 0.199   .024 0.207   21824    1.544
15-11-03 12:30:00 CONT A OK  0   300    5.00 0.199   .027 0.207   22116    1.507
15-11-03 12:35:00 CONT B OK  0   300    4.61 0.199   .032 0.206   20752    1.493
15-11-03 12:40:00 CONT A OK  0   300    4.99 0.198   .026 0.206   21580    1.476
15-11-03 12:45:00 CONT B OK  0   300    4.57 0.198   .026 0.205   20274    1.469
15-11-03 12:50:00 CONT A OK  0   300    4.96 0.198   .030 0.205   22440    1.542
15-11-03 12:55:00 CONT B OK  0   300    4.55 0.197   .027 0.204   21377    1.559
15-11-03 13:00:00 CONT A OK  0   300    4.95 0.197   .031 0.204   21064    1.450
15-11-03 13:05:00 CONT B OK  0   300    4.53 0.197   .029 0.204   19698    1.442
-
  Date     Time   Typ  C Stat  AdTim     Vol    Bl  BlDev  MaxV    Area    ng/m3
15-11-03 13:48:41 CLN  A OK  0     0     .00 0.192   .027 0.200   22287    0.000
15-11-03 13:52:14 CLN  B NP  0   214    3.34 0.200   .032  .000       0    0.000
15-11-03 13:55:01 CONT A OK  0   300    4.93 0.200   .029 0.209   25170    1.741
15-11-03 14:00:01 CONT B OK  0   300    4.50 0.200   .024 0.207   22370    1.649
15-11-03 14:05:01 CONT A OK  0   300    4.91 0.200   .030 0.208   21441    1.490
15-11-03 14:10:01 CONT B OK  0   300    4.45 0.200   .030 0.207   21197    1.580
15-11-03 14:15:01 CONT A OK  0   300    4.88 0.199   .030 0.207   23036    1.608
15-11-03 14:20:01 CONT B OK  0   300    4.40 0.199   .030 0.206   20118    1.516
-
  Date     Time   Typ  C Stat  AdTim     Vol    Bl  BlDev  MaxV    Area    ng/m3
15-11-03 15:40:58 CLN  A NP  0     0     .00 0.202   .048  .000       0    0.000
15-11-03 15:44:32 CLN  B OK  0   214    3.51 0.203   .032 0.205    5774    0.000
15-11-03 15:47:18 CONT A OK  0   300    4.97 0.203   .028 0.212   24164    1.656
15-11-03 15:52:18 CONT B OK  0   300    4.63 0.203   .029 0.211   22738    1.629
15-11-03 15:57:18 CONT A OK  0   300    4.98 0.203   .023 0.211   24671    1.690
15-11-03 16:02:18 CONT B OK  0   300    4.61 0.203   .025 0.210   23021    1.654
15-11-03 16:07:18 CONT A OK  0   300    4.95 0.203   .028 0.210   23465    1.616
15-11-03 16:12:18 CONT B OK  0   300    4.60 0.202   .026 0.210   22245    1.604
15-11-03 16:17:18 CONT A OK  0   300    4.94 0.202   .026 0.210   23306    1.610
15-11-03 16:22:18 CONT B OK  0   300    4.59 0.202   .027 0.210   22633    1.635
15-11-03 16:27:18 CONT A OK  0   300    4.94 0.202   .031 0.210   24091    1.663
-
  Date     Time   Typ  C Stat  AdTim     Vol    Bl  BlDev  MaxV    Area    ng/m3
15-11-03 17:18:40 CLN  A NP  0     0     .00 0.202   .021  .000       0    0.000
15-11-03 17:22:14 CLN  B OK  0   213    3.56 0.202   .028 0.206    9957    0.000
15-11-03 17:25:00 CONT A OK  0   300    5.00 0.202   .030 0.210   24361    1.662
15-11-03 17:30:00 CONT B OK  0   300    4.71 0.202   .025 0.210   23535    1.657
15-11-03 17:35:00 CONT A OK  0   300    5.02 0.202   .029 0.210   24045    1.634
15-11-03 17:40:00 CONT B OK  0   300    4.60 0.202   .026 0.209   22032    1.586
15-11-03 17:45:00 CONT A OK  0   300    5.01 0.201   .027 0.209   24198    1.647
15-11-03 17:50:00 CONT B OK  0   300    4.58 0.201   .027 0.209   23198    1.679
15-11-03 17:55:00 CONT A OK  0   300    5.01 0.201   .027 0.209   22964    1.564
15-11-03 18:00:00 CONT B OK  0   300    4.57 0.201   .028 0.208   21414    1.553
15-11-03 18:05:00 CONT A OK  0   300    5.00 0.201   .030 0.209   24091    1.642
15-11-03 18:10:00 CONT B OK  0   300    4.56 0.201   .029 0.208   22710    1.649
15-11-03 18:15:00 CONT A OK  0   300    5.00 0.201   .026 0.209   23860    1.625
15-11-03 18:20:00 CONT B OK  0   300    4.56 0.200   .024 0.208   22446    1.632
15-11-03 18:25:00 CONT A OK  0   300    5.00 0.200   .024 0.209   24041    1.637
15-11-03 18:30:00 CONT B OK  0   300    4.56 0.200   .024 0.208   22658    1.646
15-11-03 18:35:00 CONT A OK  0   300    5.01 0.200   .026 0.208   23852    1.624
15-11-03 18:40:00 CONT B OK  0   300    4.57 0.200   .027 0.208   22897    1.659
15-11-03 18:45:00 CONT A OK  0   300    5.00 0.200   .029 0.208   23688    1.615
15-11-03 18:50:00 CONT B OK  0   300    4.55 0.200   .041 0.208   20943    1.525
15-11-03 18:55:00 CONT A OK  0   300    4.97 0.200   .036 0.208   23839    1.636
15-11-03 19:00:00 CONT B OK  0   300    4.51 0.201   .027 0.208   22508    1.655
15-11-03 19:05:00 CONT A OK  0   300    4.96 0.200   .030 0.209   24328    1.672
15-11-03 19:10:00 CONT B OK  0   300    4.49 0.201   .031 0.208   22407    1.654
15-11-03 19:15:00 CONT A OK  0   300    4.96 0.200   .024 0.208   23499    1.616
15-11-03 19:20:00 CONT B OK  0   300    4.51 0.200   .028 0.208   21670    1.593
15-11-03 19:25:00 CONT A OK  0   300    4.95 0.200   .028 0.208   23389    1.609
15-11-03 19:30:00 CONT B OK  0   300    4.50 0.200   .028 0.208   22139    1.631
15-11-03 19:35:00 CONT A OK  0   300    4.96 0.200   .026 0.208   23863    1.640
15-11-03 19:40:00 CONT B OK  0   300    4.51 0.200   .029 0.208   21200    1.559
15-11-03 19:45:00 CONT A OK  0   300    4.96 0.200   .027 0.208   23491    1.613
15-11-03 19:50:00 CONT B OK  0   300    4.50 0.200   .027 0.208   21895    1.614
15-11-03 19:55:00 CONT A OK  0   300    4.96 0.200   .028 0.208   23128    1.588
15-11-03 20:00:00 CONT B OK  0   300    4.49 0.200   .026 0.207   21852    1.613
15-11-03 20:05:00 CONT A OK  0   300    4.97 0.200   .022 0.208   22256    1.528
15-11-03 20:10:00 CONT B OK  0   300    4.52 0.200   .031 0.207   21511    1.578
15-11-03 20:15:00 CONT A OK  0   300    4.98 0.200   .025 0.208   22248    1.524
15-11-03 20:20:00 CONT B OK  0   300    4.51 0.200   .030 0.207   22107    1.623
15-11-03 20:25:00 CONT A OK  0   300    4.98 0.200   .025 0.208   22766    1.559
15-11-03 20:30:00 CONT B OK  0   300    4.51 0.200   .029 0.207   21559    1.584
15-11-03 20:35:00 CONT A OK  0   300    4.98 0.200   .030 0.208   21948    1.503
15-11-03 20:40:00 CONT B OK  0   300    4.52 0.200   .020 0.208   21840    1.600
15-11-03 20:45:00 CONT A OK  0   300    4.98 0.200   .026 0.208   23395    1.602
15-11-03 20:50:00 CONT B OK  0   300    4.51 0.200   .026 0.207   22116    1.626
15-11-03 20:55:00 CONT A OK  0   300    4.98 0.200   .025 0.208   23370    1.600
15-11-03 21:00:00 CONT B OK  0   300    4.52 0.200   .029 0.208   22588    1.655
15-11-03 21:05:00 CONT A OK  0   300    4.98 0.200   .030 0.208   23230    1.590
15-11-03 21:10:00 CONT B OK  0   300    4.51 0.200   .029 0.208   21914    1.612
15-11-03 21:15:00 CONT A OK  0   300    4.98 0.200   .027 0.208   23718    1.623
15-11-03 21:20:00 CONT B OK  0   300    4.51 0.200   .027 0.207   21407    1.573
15-11-03 21:25:00 CONT A OK  0   300    4.98 0.200   .023 0.208   23566    1.612
15-11-03 21:30:00 CONT B OK  0   300    4.53 0.200   .025 0.207   21648    1.585
15-11-03 21:35:00 CONT A OK  0   300    4.98 0.200   .025 0.208   23578    1.613
15-11-03 21:40:00 CONT B OK  0   300    4.54 0.200   .028 0.207   21924    1.600
15-11-03 21:45:00 CONT A OK  0   300    4.99 0.200   .025 0.208   23257    1.590
15-11-03 21:50:00 CONT B OK  0   300    4.53 0.200   .025 0.208   22222    1.627
15-11-03 21:55:00 CONT A OK  0   300    4.99 0.200   .027 0.208   23736    1.622
15-11-03 22:00:00 CONT B OK  0   300    4.53 0.200   .030 0.208   22019    1.612
15-11-03 22:05:00 CONT A OK  0   300    4.99 0.200   .030 0.208   23292    1.591
15-11-03 22:10:00 CONT B OK  0   300    4.53 0.200   .025 0.208   22536    1.648
15-11-03 22:15:00 CONT A OK  0   300    4.99 0.200   .022 0.208   24110    1.648
15-11-03 22:20:00 CONT B OK  0   300    4.54 0.200   .025 0.208   22233    1.623
15-11-03 22:25:00 CONT A OK  0   300    4.99 0.200   .029 0.208   21979    1.501
15-11-03 22:30:00 CONT B OK  0   300    4.54 0.201   .029 0.208   21502    1.571
15-11-03 22:35:00 CONT A OK  0   300    5.00 0.200   .032 0.208   22119    1.509
15-11-03 22:40:00 CONT B OK  0   300    4.55 0.200   .027 0.208   22202    1.616
15-11-03 22:45:00 CONT A OK  0   300    4.99 0.200   .026 0.208   23667    1.617
15-11-03 22:50:00 CONT B OK  0   300    4.55 0.200   .026 0.208   22025    1.604
15-11-03 22:55:00 CONT A OK  0   300    4.99 0.200   .028 0.208   23383    1.597
15-11-03 23:00:00 CONT B OK  0   300    4.59 0.200   .022 0.208   21313    1.539
15-11-03 23:05:00 CONT A OK  0   300    5.00 0.200   .026 0.208   24051    1.641
15-11-03 23:10:00 CONT B OK  0   300    4.55 0.200   .023 0.208   23292    1.697
15-11-03 23:15:00 CONT A OK  0   300    5.00 0.200   .025 0.208   23711    1.618
15-11-03 23:20:00 CONT B OK  0   300    4.54 0.200   .023 0.208   22185    1.618
15-11-03 23:25:00 CONT A OK  0   300    5.00 0.200   .028 0.208   23889    1.630
15-11-03 23:30:00 CONT B OK  0   300    4.56 0.200   .025 0.208   23096    1.678
15-11-03 23:35:00 CONT A OK  0   300    5.00 0.200   .023 0.209   24289    1.657
15-11-03 23:40:00 CONT B OK  0   300    4.56 0.200   .028 0.208   22701    1.649
15-11-03 23:45:00 CONT A OK  0   300    5.00 0.200   .026 0.209   24861    1.696
15-11-03 23:50:00 CONT B OK  0   300    4.56 0.200   .032 0.208   23029    1.674
15-11-03 23:55:00 CONT A OK  0   300    5.00 0.200   .029 0.209   25022    1.706
15-11-04 00:00:00 CONT B OK  0   300    4.56 0.201   .030 0.208   22857    1.660
